method,MAP,MRR,MicroF1@5,MicroF1@10,NDCG@5,P@5,R@5
IDFCosine,0.19257062280262782,0.5234784388826174,0.2348901098901099,0.2221137417622651,0.34401968714830594,0.2923076923076925,0.18187947348433575
BC,0.1904061641982746,0.5195424057799176,0.228021978021978,0.21869660727361484,0.33635411226248657,0.28376068376068386,0.17729055962145304
Jaccard,0.1902668267760565,0.5227356631398417,0.22939560439560439,0.21918476934342204,0.3382742963760531,0.2854700854700856,0.17904608536248606
Dice,0.1902668267760565,0.5227356631398417,0.22939560439560439,0.21918476934342204,0.3382742963760531,0.2854700854700856,0.17904608536248606
Cocitation,0.16446622295803176,0.3955205470396816,0.15865384615384615,0.18257261410788383,0.2343236993838907,0.1974358974358974,0.1438720310918828
