model,_micro_f1,_micro_k,MAP,MRR,R-Precision,n_queries,P@5,R@5,F1@5,NDCG@5,MAP@5,MicroF1@5,P@6,R@6,F1@6,NDCG@6,MAP@6,MicroF1@6,P@7,R@7,F1@7,NDCG@7,MAP@7,MicroF1@7,P@8,R@8,F1@8,NDCG@8,MAP@8,MicroF1@8,P@9,R@9,F1@9,NDCG@9,MAP@9,MicroF1@9,P@10,R@10,F1@10,NDCG@10,MAP@10,MicroF1@10,P@11,R@11,F1@11,NDCG@11,MAP@11,MicroF1@11,P@15,R@15,F1@15,NDCG@15,MAP@15,MicroF1@15,P@20,R@20,F1@20,NDCG@20,MAP@20,MicroF1@20
G4: BM25 Boost Arg+Prec+Ratio ×2  n=5,38.5141,7,47.6705,72.9989,45.5598,234,45.2137,43.8021,36.8705,59.9002,51.3299,36.4576,42.0228,47.0345,36.8469,59.5144,50.2641,37.6156,39.5604,49.9384,36.7914,59.4625,49.7321,38.4342,36.9658,51.6162,36.0223,58.9612,48.7864,38.3698,34.6154,53.659,35.2222,58.6492,47.9433,37.949,32.6496,55.2126,34.4671,58.589,47.5648,37.4785,30.3807,55.9419,33.1852,58.2521,46.9307,36.2709,24.4729,59.1891,29.5068,58.38,46.4546,32.7113,19.5085,61.4296,25.5641,58.6474,46.2272,28.4114
G5: BM25 Fact+Arg+Prec+Ratio  n=5,38.5141,7,47.4383,73.3818,45.0782,234,45.8974,43.9823,37.2715,60.1955,51.7316,37.009,42.735,47.993,37.53,60.0002,50.5892,38.2531,39.5604,50.1255,36.8152,59.4129,49.4151,38.4342,36.9658,51.8635,36.0586,58.9214,48.4454,38.3698,34.4255,53.3489,35.0645,58.3643,47.4375,37.7408,32.3077,54.8896,34.1311,58.2139,46.9173,37.0861,30.1476,55.8619,32.9035,57.9712,46.3808,35.9926,24.3875,59.4188,29.434,58.2294,45.971,32.5971,19.9359,62.543,26.0758,58.9812,46.1044,29.0338
G2: BM25 Fact+Arg+Prec+Ratio (A3),37.8603,7,46.4858,72.5357,43.9594,234,45.3846,43.8373,37.0231,59.4214,50.6733,36.5955,41.8803,47.3505,36.8088,58.9987,49.391,37.488,38.8889,49.4249,36.1524,58.4686,48.3434,37.7817,36.3248,51.4279,35.4806,58.0549,47.4414,37.7045,33.9031,52.9226,34.6201,57.5218,46.4515,37.1681,31.5812,54.2398,33.4625,57.2221,45.8326,36.2521,29.6814,55.1419,32.4473,57.083,45.4503,35.436,24.1311,58.7825,29.1645,57.422,45.058,32.2544,19.4444,61.2712,25.4791,57.8681,45.0162,28.318
G5: BM25 Fact+Arg+Prec+Ratio  n=4,37.8603,7,46.4858,72.5357,43.9594,234,45.3846,43.8373,37.0231,59.4214,50.6733,36.5955,41.8803,47.3505,36.8088,58.9987,49.391,37.488,38.8889,49.4249,36.1524,58.4686,48.3434,37.7817,36.3248,51.4279,35.4806,58.0549,47.4414,37.7045,33.9031,52.9226,34.6201,57.5218,46.4515,37.1681,31.5812,54.2398,33.4625,57.2221,45.8326,36.2521,29.6814,55.1419,32.4473,57.083,45.4503,35.436,24.1311,58.7825,29.1645,57.422,45.058,32.2544,19.4444,61.2712,25.4791,57.8681,45.0162,28.318
G3: BM25 Boost Arg+Prec+Ratio ×2  n=4,37.566,8,46.8862,72.8836,45.5968,234,44.188,42.4579,35.868,58.9098,50.3845,35.6306,41.0969,46.3903,36.1224,58.7269,49.2601,36.7867,38.2173,48.6165,35.5969,58.2872,48.4266,37.1293,36.1111,50.9791,35.326,58.1558,47.797,37.4827,33.9506,52.6082,34.5696,57.8166,47.0986,37.2202,31.7521,53.9449,33.6084,57.585,46.4786,36.4484,29.6426,55.2308,32.5055,57.4435,46.0194,35.3896,24.0171,58.6319,29.0474,57.7333,45.6274,32.1021,19.3376,61.2997,25.3877,58.2168,45.5895,28.1624
G4: BM25 Boost Arg+Prec+Ratio ×2  n=4,37.566,8,46.8862,72.8836,45.5968,234,44.188,42.4579,35.868,58.9098,50.3845,35.6306,41.0969,46.3903,36.1224,58.7269,49.2601,36.7867,38.2173,48.6165,35.5969,58.2872,48.4266,37.1293,36.1111,50.9791,35.326,58.1558,47.797,37.4827,33.9506,52.6082,34.5696,57.8166,47.0986,37.2202,31.7521,53.9449,33.6084,57.585,46.4786,36.4484,29.6426,55.2308,32.5055,57.4435,46.0194,35.3896,24.0171,58.6319,29.0474,57.7333,45.6274,32.1021,19.3376,61.2997,25.3877,58.2168,45.5895,28.1624
G5: BM25 Fact+Arg+Prec+Ratio  n=3,36.3744,7,44.7443,72.0564,41.9125,234,43.6752,42.1531,35.4587,57.84,49.0794,35.2171,39.886,44.6875,34.9096,56.9231,47.3223,35.7029,37.3626,47.8223,34.8314,56.8221,46.5499,36.2989,34.8825,49.7058,34.1762,56.3561,45.5861,36.2074,32.4786,51.9252,33.3403,55.9956,44.6423,35.6065,30.5556,53.1065,32.4819,55.8022,44.1891,35.0748,28.6713,53.8104,31.4065,55.5954,43.823,34.2301,23.0769,56.5955,27.9157,55.6251,43.1975,30.8454,18.6325,59.674,24.5145,56.2521,43.2421,27.1355
G4: BM25 Boost Arg+Prec+Ratio ×2  n=3,35.1857,7,44.4192,71.8743,42.2151,234,42.3932,40.8041,34.2566,56.9963,48.3681,34.1833,38.8177,43.0535,33.7706,56.0533,46.6549,34.7466,36.1416,45.9995,33.5854,55.8037,45.7856,35.1127,33.8141,47.6,32.9529,55.3219,44.9429,35.0984,31.6239,49.5959,32.2952,55.0244,44.105,34.6694,29.8291,51.2105,31.6803,54.977,43.7185,34.2409,27.7389,52.1406,30.4888,54.7114,43.2252,33.1169,22.6496,56.0567,27.4845,55.253,42.9704,30.2742,18.3547,59.6014,24.2569,56.0078,43.0321,26.731
G5: BM25 Fact+Arg+Prec+Ratio  n=2,31.6755,8,39.1062,68.8922,36.9954,234,38.3761,36.9115,30.9916,52.0489,43.2349,30.9442,34.6866,39.4109,30.4054,51.0575,41.2701,31.0488,32.4786,41.8643,30.2215,50.8536,40.4976,31.554,30.4487,43.724,29.8341,50.5159,39.6524,31.6052,28.2526,45.5073,29.0122,50.1111,38.7305,30.9735,26.2393,46.1309,27.9369,49.6587,38.1357,30.1202,24.7086,47.3584,27.196,49.6506,37.8392,29.4991,19.886,49.9811,24.123,49.7281,37.3795,26.5804,16.047,53.2159,21.2661,50.3719,37.3212,23.3702
G4: BM25 Boost Arg+Prec+Ratio ×2  n=2,30.0862,6,37.6058,68.1781,35.4058,234,36.8376,35.9831,29.7944,50.6829,41.7321,29.7037,33.547,38.3728,29.3622,49.8001,40.0637,30.0287,30.7692,40.1665,28.6959,49.1408,38.8843,29.8932,28.2585,41.0343,27.6644,48.3092,37.7138,29.3319,26.7806,43.0511,27.4473,48.2678,37.1909,29.3597,25.0427,43.7605,26.5228,47.9691,36.7352,28.7466,23.582,44.8554,25.7867,47.9414,36.4799,28.154,19.0028,47.3599,22.9587,48.0262,36.0053,25.3998,15.2991,50.2973,20.2102,48.5807,35.9185,22.281
