model,_micro_f1,_micro_k,MAP,MRR,R-Precision,P@5,R@5,F1@5,NDCG@5,MAP@5,MicroF1@5,P@6,R@6,F1@6,NDCG@6,MAP@6,MicroF1@6,P@7,R@7,F1@7,NDCG@7,MAP@7,MicroF1@7,P@8,R@8,F1@8,NDCG@8,MAP@8,MicroF1@8,P@9,R@9,F1@9,NDCG@9,MAP@9,MicroF1@9,P@10,R@10,F1@10,NDCG@10,MAP@10,MicroF1@10,P@11,R@11,F1@11,NDCG@11,MAP@11,MicroF1@11,P@15,R@15,F1@15,NDCG@15,MAP@15,MicroF1@15,P@20,R@20,F1@20,NDCG@20,MAP@20,MicroF1@20
H-grid: BM25F Prec×2 Ratio×2 Fact×1 Arg×0,34.1762,8,40.247,68.2519,38.7368,40.5983,38.4102,32.524,53.2722,44.4456,32.736,37.5356,41.2646,32.5635,52.6645,43.075,33.599,34.9817,44.3695,32.3048,52.5136,42.1931,33.9858,32.8526,46.5795,31.9085,52.2565,41.2976,34.1004,30.7692,48.4254,31.3071,51.9297,40.4871,33.7324,28.8889,49.9276,30.5607,51.8248,40.0272,33.1616,26.9231,50.4154,29.3774,51.4957,39.5528,32.1429,21.9088,54.3317,26.4646,51.937,39.1599,29.2841,17.5,56.1336,22.9383,52.1538,38.9859,25.4862
H-grid: BM25F Prec×3 Ratio×1 Fact×1 Arg×0,34.0565,7,39.4413,67.1459,37.9961,40.3419,38.2813,32.3979,52.5531,43.7131,32.5293,37.6068,41.9701,32.7333,52.3512,42.5177,33.6627,34.9817,44.9883,32.5723,52.1272,41.5205,33.9858,32.6389,46.7267,31.9211,51.684,40.5245,33.8786,30.5793,48.6942,31.2611,51.4103,39.8375,33.5242,28.4188,49.6064,30.1776,51.0172,39.1639,32.622,26.8842,50.6034,29.4392,50.9963,38.9428,32.0965,21.5385,53.3614,26.0236,50.9993,38.3416,28.789,17.1581,55.3319,22.5925,51.2342,38.1014,24.9883
H-grid: BM25F Prec×1 Ratio×3 Fact×0 Arg×1,33.997,7,40.1242,70.4119,38.6177,40.9402,37.5522,32.5896,54.2575,45.6379,33.0117,37.6781,39.8396,32.3497,53.3569,44.043,33.7265,34.9206,41.7243,31.8727,52.7276,42.9174,33.9265,32.6389,43.9128,31.3206,52.3751,41.92,33.8786,29.962,44.7669,30.0789,51.4956,40.703,32.8475,27.9487,45.8932,29.2169,51.1686,40.0678,32.0824,26.3403,47.0005,28.4979,51.1163,39.7865,31.4471,20.9117,49.7415,25.0692,50.9495,38.951,27.9513,16.9017,52.5955,22.0761,51.4816,38.8468,24.6149
H-grid: BM25F Prec×5 Ratio×1 Fact×1 Arg×1,33.9376,7,40.4214,68.091,38.0115,40.1709,38.9377,32.5236,53.3081,44.6192,32.3915,37.5356,42.5427,33.0082,53.1108,43.4027,33.599,34.8596,44.4566,32.461,52.6094,42.3007,33.8671,32.5855,46.6849,31.9783,52.3129,41.3282,33.8231,30.1519,48.2765,30.9617,51.7934,40.3879,33.0557,28.1624,49.6261,30.031,51.5821,39.8582,32.3277,26.8454,51.4664,29.5791,51.8717,39.8196,32.0501,21.2536,53.7216,25.8862,51.664,39.0811,28.4082,17.0085,56.4695,22.5979,52.1261,38.8803,24.7705
H7: BM25F Prec×1 + Ratio×1 only (2 roles),33.8782,7,39.6722,70.0828,39.2658,40.9402,38.1792,32.7649,53.9549,44.8615,33.0117,37.5356,40.5754,32.3727,53.1096,43.2618,33.599,34.7985,42.4472,31.8679,52.5009,42.156,33.8078,32.1581,43.6873,30.9249,51.7444,40.9928,33.3795,30.057,45.1849,30.2444,51.2998,40.0958,32.9516,28.1624,46.1603,29.4161,50.9979,39.5785,32.3277,26.6511,47.6468,28.7721,51.0834,39.3436,31.8182,21.396,50.5759,25.6096,51.0846,38.6402,28.5986,17.4359,53.2344,22.6474,51.6522,38.6883,25.3929
H-grid: BM25F Prec×1 Ratio×3 Fact×1 Arg×0,33.8427,8,39.9362,68.3362,37.946,40.3419,38.5333,32.4165,53.2426,44.3192,32.5293,37.2507,40.9149,32.2351,52.5039,42.9173,33.344,34.6154,43.0517,31.7428,52.0454,41.9876,33.6299,32.5321,45.48,31.4599,51.8355,41.1652,33.7677,30.3419,47.069,30.7251,51.3894,40.2549,33.2639,28.4188,48.2838,29.9251,51.1689,39.6526,32.622,26.69,49.3838,29.1011,51.0922,39.2941,31.8646,21.4245,53.6567,25.9295,51.4465,38.7511,28.6367,17.3077,55.8275,22.7276,51.8621,38.7186,25.2062
H4: BM25F Prec×5 + Ratio×3 + Fact×1 + Arg×1,33.8187,7,40.1012,68.1881,38.4646,40.0855,37.515,32.0913,52.9575,44.5489,32.3225,37.6068,40.9823,32.6759,52.7503,43.4511,33.6627,34.7375,43.484,32.2093,52.2849,42.3012,33.7485,32.265,45.3462,31.4698,51.8014,41.1593,33.4904,30.0095,47.0044,30.6194,51.3473,40.2903,32.8995,28.1624,48.5926,29.8777,51.2461,39.8217,32.3277,26.5346,50.2131,29.0999,51.3291,39.5349,31.679,21.1111,52.9942,25.633,51.2818,38.8402,28.2178,16.7308,55.2463,22.1686,51.5291,38.56,24.366
H-grid: BM25F Prec×5 Ratio×3 Fact×1 Arg×1,33.8187,7,40.1012,68.1881,38.4646,40.0855,37.515,32.0913,52.9575,44.5489,32.3225,37.6068,40.9823,32.6759,52.7503,43.4511,33.6627,34.7375,43.484,32.2093,52.2849,42.3012,33.7485,32.265,45.3462,31.4698,51.8014,41.1593,33.4904,30.0095,47.0044,30.6194,51.3473,40.2903,32.8995,28.1624,48.5926,29.8777,51.2461,39.8217,32.3277,26.5346,50.2131,29.0999,51.3291,39.5349,31.679,21.1111,52.9942,25.633,51.2818,38.8402,28.2178,16.7308,55.2463,22.1686,51.5291,38.56,24.366
H-grid: BM25F Prec×2 Ratio×3 Fact×0 Arg×1,33.6999,7,39.2889,69.1226,38.3104,40.3419,37.0813,32.157,53.254,44.5577,32.5293,37.037,39.4884,31.9103,52.3984,43.0931,33.1527,34.6154,41.7515,31.6413,52.0374,42.1257,33.6299,32.1047,43.3401,30.9563,51.4227,41.0402,33.3241,29.6771,44.3665,29.9057,50.7099,39.9274,32.5351,27.7778,45.2739,29.0252,50.4018,39.4025,31.8862,25.9907,45.8686,28.0306,50.1382,38.9722,31.0297,20.7123,48.405,24.7647,49.9765,38.2144,27.6847,16.6453,52.1152,21.7635,50.6375,38.09,24.2415
I-grid: Fusion Prec×5 Ratio×1 Fact×1 Arg×0,33.6205,8,40.3359,69.0292,38.0108,40.7692,38.0162,32.4028,53.0189,43.661,32.8739,37.3932,40.4301,32.115,52.1287,42.0211,33.4715,34.3101,42.4152,31.4152,51.3605,40.5849,33.3333,32.3184,45.2326,31.2333,51.2968,39.83,33.5459,30.3419,47.2768,30.7429,51.048,39.0414,33.2639,28.8034,49.0737,30.3605,51.1304,38.6809,33.0635,27.1173,50.1648,29.5593,51.0425,38.2989,32.3748,22.3647,54.4965,26.9343,51.7417,38.0688,29.8934,18.6752,59.2155,24.5272,53.1112,38.4312,27.1978
H-grid: BM25F Prec×3 Ratio×2 Fact×0 Arg×1,33.5356,6,39.3416,69.5068,38.0764,40.4274,36.8394,32.2197,53.2453,44.5737,32.5982,37.3932,40.2515,32.3128,52.8116,43.3026,33.4715,34.4322,41.8389,31.5768,52.0349,41.9777,33.452,31.9979,43.1492,30.8046,51.3901,40.9611,33.2132,29.962,44.574,30.1353,50.9599,40.1501,32.8475,27.7778,45.3837,29.0763,50.4844,39.4659,31.8862,26.0684,46.2265,28.2159,50.3165,39.0851,31.1224,20.7692,48.863,24.8777,50.2033,38.3118,27.7609,16.6667,52.6003,21.8355,50.85,38.156,24.2726
H-grid: BM25F Prec×2 Ratio×3 Fact×1 Arg×0,33.2838,7,38.9458,67.627,36.8569,38.9744,36.4696,31.0671,51.6338,42.995,31.4266,36.2536,39.5103,31.2617,51.203,41.7794,32.4514,34.188,42.4236,31.3562,51.1898,41.0452,33.2147,31.9444,44.5105,30.9006,50.8104,40.0718,33.1577,29.7246,46.1358,30.0714,50.3458,39.1502,32.5872,27.8205,47.0441,29.1773,50.042,38.6383,31.9352,26.2238,48.2947,28.5088,50.0401,38.2885,31.308,21.1396,52.4924,25.53,50.4503,37.7861,28.2559,17.094,55.5277,22.5024,51.071,37.74,24.895
H-grid: BM25F Prec×3 Ratio×1 Fact×0 Arg×1,33.2838,7,39.6487,69.691,38.8003,39.7436,36.2277,31.5119,52.9497,44.4961,32.0469,36.6809,39.2584,31.6869,52.3245,43.007,32.8339,34.188,41.3612,31.3782,51.8971,41.9755,33.2147,31.8376,43.4033,30.8205,51.4813,41.031,33.0469,29.7246,44.8607,30.015,51.0309,40.2278,32.5872,27.906,46.223,29.2877,50.8767,39.7516,32.0334,26.2238,47.3305,28.4456,50.7769,39.3503,31.308,20.9117,50.0339,25.1159,50.6911,38.6172,27.9513,16.6453,52.565,21.8376,50.9924,38.3243,24.2415
H-grid: BM25F Prec×3 Ratio×2 Fact×1 Arg×0,33.2315,8,39.0858,67.6406,37.2865,39.4872,37.2826,31.6091,52.0643,43.3642,31.8401,36.1823,39.6533,31.3114,51.2028,41.7678,32.3876,34.0659,42.5023,31.4161,51.1231,40.9807,33.0961,31.9444,44.9945,31.0045,50.9365,40.1377,33.1577,30.057,47.3089,30.4963,50.7998,39.3903,32.9516,28.0769,48.5362,29.6767,50.5485,38.8188,32.2296,26.3015,49.4363,28.7413,50.3956,38.4357,31.4007,21.1681,52.4439,25.5966,50.5403,37.9302,28.294,16.9872,54.877,22.3322,50.9411,37.7934,24.7394
H6: BM25F Arg×1 + Prec×3 + Ratio×3,33.0461,7,38.3679,68.6254,37.2064,39.2308,35.4118,31.0759,51.9015,43.4303,31.6334,36.6097,38.689,31.4542,51.576,42.1708,32.7702,33.9438,40.983,31.0932,51.1033,41.0766,32.9775,31.25,42.1281,30.1501,50.2723,39.8744,32.4369,29.2498,43.9802,29.5518,49.9561,39.0974,32.0666,27.265,44.9004,28.6224,49.6019,38.4985,31.2975,25.4468,45.3494,27.5486,49.2875,38.0538,30.3803,20.4274,47.8193,24.4942,49.2301,37.3744,27.3039,16.2821,50.5148,21.2997,49.5801,37.1205,23.7125
H-grid: BM25F Prec×3 Ratio×3 Fact×0 Arg×1,33.0461,7,38.3679,68.6254,37.2064,39.2308,35.4118,31.0759,51.9015,43.4303,31.6334,36.6097,38.689,31.4542,51.576,42.1708,32.7702,33.9438,40.983,31.0932,51.1033,41.0766,32.9775,31.25,42.1281,30.1501,50.2723,39.8744,32.4369,29.2498,43.9802,29.5518,49.9561,39.0974,32.0666,27.265,44.9004,28.6224,49.6019,38.4985,31.2975,25.4468,45.3494,27.5486,49.2875,38.0538,30.3803,20.4274,47.8193,24.4942,49.2301,37.3744,27.3039,16.2821,50.5148,21.2997,49.5801,37.1205,23.7125
I-grid: Fusion Prec×5 Ratio×1 Fact×0 Arg×1,32.6757,8,37.5775,66.6711,36.0722,39.4017,34.9182,30.8119,50.222,41.0345,31.7712,35.9687,37.4099,30.5006,49.2601,39.2615,32.1964,33.3944,39.3219,30.1415,48.6696,38.096,32.4437,31.4103,41.2616,29.8663,48.3453,37.239,32.6033,29.5821,43.3612,29.512,48.1354,36.3985,32.431,27.8205,44.8712,28.9461,48.0207,35.9932,31.9352,26.0684,45.9038,28.0429,47.8633,35.5391,31.1224,21.7949,50.6814,26.0464,48.7591,35.4151,29.1318,18.1838,55.4965,23.7882,50.0894,35.6879,26.482
H-grid: BM25F Prec×3 Ratio×3 Fact×1 Arg×0,32.4517,7,38.121,67.2461,36.2114,38.547,35.6034,30.6302,50.9787,42.481,31.082,35.5413,38.4845,30.5597,50.3839,40.9627,31.8138,33.3333,41.1443,30.5342,50.1967,40.214,32.3843,30.9829,42.9221,29.8784,49.6826,39.1528,32.1597,29.0598,45.0572,29.3859,49.4667,38.43,31.8584,27.1795,46.0831,28.5845,49.1675,37.8592,31.1994,25.4079,47.1836,27.6647,49.0313,37.4124,30.334,20.6553,50.7474,24.9205,49.4033,36.9709,27.6085,16.6239,54.1153,21.901,50.0415,36.8121,24.2104
H-ngram: BM25F Prec×1+Rati×1+Fact×1+Argu×1  n=2,32.3328,7,39.6273,69.0761,37.6107,38.8889,37.9039,31.4394,52.7602,43.8833,31.3577,35.6838,40.5349,31.2325,52.024,42.225,31.9413,33.2112,42.507,30.8098,51.592,41.3549,32.2657,30.4487,43.9686,29.7941,50.8233,40.0934,31.6052,28.3951,45.5387,29.1077,50.4037,39.1873,31.1296,26.4103,46.3466,28.1465,49.9922,38.5449,30.3164,24.7475,47.4554,27.2391,49.9101,38.2415,29.5455,20.3419,51.2034,24.7739,50.465,37.9415,27.1896,16.4103,54.1116,21.7721,51.0486,37.9392,23.8992
H-grid: BM25F Prec×5 Ratio×2 Fact×0 Arg×1,31.8977,8,37.0861,67.7245,35.891,38.2051,34.3419,30.1312,50.5542,42.0996,30.8063,35.114,37.0903,30.1719,49.8066,40.5084,31.4313,32.3565,39.1594,29.675,49.1918,39.162,31.4353,30.6624,41.411,29.6607,49.1013,38.4912,31.827,28.585,42.9132,28.8926,48.6708,37.7342,31.3378,26.8376,44.4277,28.1959,48.5674,37.266,30.807,24.9806,45.0527,27.1646,48.2709,36.8142,29.8237,20.0285,47.2758,24.0625,48.1578,36.1637,26.7708,15.7906,49.4444,20.7407,48.2907,35.7556,22.9967
H-grid: BM25F Prec×5 Ratio×2 Fact×1 Arg×0,31.7385,7,37.1448,65.7847,36.0943,37.4359,34.8754,29.825,49.6495,41.1193,30.1861,34.6154,38.0226,29.9874,49.1846,39.7637,30.985,32.6007,40.2827,29.9482,48.9977,38.9829,31.6726,30.5021,41.8922,29.4636,48.5599,38.046,31.6607,28.4425,43.4201,28.6715,48.144,37.2856,31.1817,26.7094,45.9597,28.1537,48.2885,36.8554,30.6598,24.8252,46.5433,27.0893,47.9646,36.3723,29.6382,20.1425,49.8707,24.3504,48.2769,35.9257,26.9231,16.1325,53.0548,21.3282,48.8274,35.7287,23.4946
H-grid: BM25F Prec×5 Ratio×1 Fact×1 Arg×0,31.3819,7,36.6636,65.5601,35.062,37.0085,35.1726,29.5604,49.3041,40.472,29.8415,34.2593,38.1154,29.7277,48.8043,39.1251,30.6662,32.2344,40.59,29.6763,48.6695,38.3377,31.3167,29.9145,42.4094,29.0338,48.1732,37.3078,31.0507,28.1102,43.8369,28.4688,47.8198,36.579,30.8173,26.453,45.6892,27.928,47.8287,36.1988,30.3655,24.864,46.5533,27.1261,47.7105,35.8301,29.6846,20.1709,50.5277,24.493,48.2119,35.4732,26.9612,16.047,53.2557,21.2897,48.6074,35.2244,23.3702
H-grid: BM25F Prec×5 Ratio×3 Fact×0 Arg×1,31.3638,6,36.5968,67.2904,35.7656,38.2051,34.3686,30.1632,50.3925,41.9034,30.8063,34.9715,36.7439,29.9489,49.4902,40.2179,31.3038,32.1734,38.3141,29.3231,48.729,38.868,31.2574,30.0748,39.9248,28.8782,48.257,37.931,31.2171,28.2051,41.5936,28.3644,47.9491,37.2198,30.9214,26.6239,43.837,27.9601,48.0877,36.8919,30.5617,24.7863,44.9009,27.0003,47.8964,36.4347,29.5918,19.7436,46.8684,23.7814,47.6439,35.6444,26.3899,15.5769,48.345,20.4573,47.6663,35.2731,22.6855
H-grid: BM25F Prec×5 Ratio×1 Fact×0 Arg×1,31.1753,8,36.8242,67.5295,35.5625,36.9231,33.5562,29.2557,49.6384,41.2812,29.7726,34.4017,36.7267,29.5774,49.3052,39.9904,30.7938,31.9292,38.9971,29.3,48.8758,38.9054,31.0202,29.9679,40.698,28.9396,48.5181,38.089,31.1062,27.8727,42.5138,28.2725,48.1543,37.2516,30.557,26.1538,43.5991,27.5432,47.9356,36.7737,30.0221,24.8252,44.8143,27.0124,48.0131,36.5675,29.6382,19.7721,47.1024,23.8139,47.8559,35.887,26.428,15.4915,49.0892,20.4161,47.8987,35.4389,22.5611
H-grid: BM25F Prec×5 Ratio×3 Fact×1 Arg×0,30.847,7,36.5185,66.0965,35.115,36.7521,33.641,29.1697,48.9018,40.452,29.6347,34.3305,37.0514,29.6242,48.6873,39.353,30.73,31.685,38.9051,29.0378,48.083,38.1787,30.7829,29.6474,40.4141,28.5451,47.6241,37.2542,30.7735,27.9677,42.2266,28.0839,47.4331,36.6661,30.6611,25.9402,43.4423,27.1772,47.0903,36.0262,29.7768,24.3978,45.3931,26.553,47.2346,35.7376,29.128,19.8291,49.0804,23.927,47.6476,35.3521,26.5042,15.812,51.7165,20.8658,48.0493,35.0857,23.0279
I5: Refined fusion all 7 equal,29.6193,8,35.326,59.7824,31.5452,33.9316,31.48,27.0265,43.5204,34.3524,27.3604,32.1225,35.222,27.7803,43.7732,33.6165,28.7536,30.2198,37.861,27.9014,43.8023,33.0243,29.3594,28.4722,39.5882,27.584,43.6619,32.3955,29.5536,26.8281,40.9468,27.1265,43.4607,31.8684,29.4118,25.2991,42.4827,26.6807,43.497,31.5876,29.041,24.5144,45.3112,26.7818,44.2499,31.7593,29.2672,20.8547,51.3709,25.2273,45.7516,32.122,27.8751,17.6068,55.1375,23.0717,46.9297,32.5278,25.6418
