model,_micro_f1,_micro_k,MAP,MRR,R-Precision,n_queries,P@5,R@5,F1@5,NDCG@5,MAP@5,MicroF1@5,P@6,R@6,F1@6,NDCG@6,MAP@6,MicroF1@6,P@7,R@7,F1@7,NDCG@7,MAP@7,MicroF1@7,P@8,R@8,F1@8,NDCG@8,MAP@8,MicroF1@8,P@9,R@9,F1@9,NDCG@9,MAP@9,MicroF1@9,P@10,R@10,F1@10,NDCG@10,MAP@10,MicroF1@10,P@11,R@11,F1@11,NDCG@11,MAP@11,MicroF1@11,P@15,R@15,F1@15,NDCG@15,MAP@15,MicroF1@15,P@20,R@20,F1@20,NDCG@20,MAP@20,MicroF1@20
F-B8: Boost Arg+Prec+Ratio ×2  n=9  scheme=log,45.9572,8,60.1283,79.4934,56.4794,234,52.3077,52.11,43.3757,69.1741,61.3796,42.1778,49.1453,55.4743,43.4747,69.0077,60.6182,43.9911,46.5201,59.3333,43.6689,69.2816,60.2651,45.1957,44.1774,62.9554,43.5926,69.5656,59.8261,45.8553,41.5954,65.2786,42.8076,69.3843,59.1865,45.6012,39.0598,66.5993,41.6152,69.1539,58.6791,44.8369,36.9075,68.0491,40.6063,69.1905,58.4426,44.0631,30.0,71.931,36.3146,69.5753,58.1721,40.099,24.6368,74.9206,32.236,70.4575,58.6786,35.8799
F-B8: Boost Arg+Prec+Ratio ×2  n=10  scheme=log,45.7605,9,60.0282,79.4799,56.5354,234,52.1368,51.469,43.1111,68.8392,61.0805,42.04,49.2877,55.5638,43.5812,69.0161,60.6078,44.1186,46.5201,59.4405,43.7239,69.2283,60.1504,45.1957,43.9637,62.3001,43.3213,69.227,59.5845,45.6335,41.6429,65.3071,42.8433,69.3336,59.1127,45.6533,38.9744,66.4414,41.4999,69.0007,58.5195,44.7388,36.9464,68.116,40.6622,69.1389,58.377,44.1095,29.886,71.8097,36.1978,69.4271,58.0229,39.9467,24.594,74.8626,32.1897,70.3535,58.5515,35.8176
F-B8: Boost Arg+Prec+Ratio ×2  n=8  scheme=log,45.7349,8,60.2085,79.9398,56.4611,234,52.3932,52.1809,43.4476,69.3875,61.6132,42.2467,49.0028,55.3125,43.3209,69.0537,60.6795,43.8636,46.398,59.3211,43.6108,69.3435,60.2642,45.0771,43.9637,62.3589,43.341,69.4243,59.7074,45.6335,41.5005,64.8694,42.6316,69.3287,59.157,45.4971,39.3162,66.9953,41.9211,69.4508,58.9281,45.1312,36.9464,68.0677,40.6314,69.3069,58.5404,44.1095,30.114,72.0434,36.4236,69.7522,58.3229,40.2513,24.5726,74.8043,32.157,70.4962,58.7067,35.7865
F-B8: Boost Arg+Prec+Ratio ×2  n=7  scheme=log,45.6794,8,60.455,80.0416,56.7454,234,52.6496,52.3349,43.642,69.6954,62.0158,42.4535,49.1453,55.3718,43.4269,69.2919,60.9797,43.9911,46.5201,59.4008,43.695,69.593,60.6178,45.1957,43.9103,62.2341,43.2576,69.538,59.927,45.578,41.358,64.2738,42.4496,69.2663,59.2697,45.341,39.188,66.839,41.7995,69.4958,59.0393,44.9841,36.9075,67.9305,40.5805,69.3942,58.7251,44.0631,30.114,72.0501,36.4253,69.9063,58.553,40.2513,24.5726,74.7793,32.1462,70.6366,58.9399,35.7865
F-B8: Boost Arg+Prec+Ratio ×2  n=5  scheme=log,45.6238,8,60.7429,80.1346,57.1899,234,52.906,52.078,43.7063,69.9802,62.4841,42.6602,49.359,55.3282,43.6196,69.5921,61.4523,44.1823,46.4591,58.9834,43.6017,69.6635,60.924,45.1364,43.8568,61.9632,43.195,69.6569,60.2789,45.5226,41.1206,63.6837,42.2031,69.2108,59.4054,45.0807,38.7607,66.1874,41.3317,69.3337,59.0509,44.4935,36.5967,67.5195,40.2531,69.3229,58.7645,43.692,29.943,71.8279,36.2408,69.9441,58.7401,40.0228,24.6154,75.204,32.2262,70.9261,59.2451,35.8488
E: Fact+Arg+Prec+Ratio  n=9  scheme=log,45.5682,8,59.291,79.0115,55.6202,234,52.2222,51.1511,42.9189,68.8708,61.2463,42.1089,48.7892,54.5356,42.9777,68.5304,60.2043,43.6723,46.0317,58.5406,43.168,68.7462,59.6217,44.7212,43.8034,61.5294,43.039,68.9319,59.3357,45.4671,40.6458,63.3559,41.6972,68.3531,58.2311,44.5601,38.2051,65.0764,40.6362,68.2078,57.7031,43.8558,36.2082,66.8668,39.748,68.3664,57.5174,43.2282,29.5157,70.3785,35.6352,68.6915,57.2806,39.4516,24.2094,73.6937,31.6484,69.618,57.7468,35.2575
E: Fact+Arg+Prec+Ratio  n=10  scheme=log,45.5682,8,59.3009,79.003,55.289,234,51.9658,51.0443,42.7708,68.6684,61.0043,41.9021,48.8604,54.7842,43.101,68.594,60.2346,43.7361,46.337,58.8803,43.4789,68.944,59.8243,45.0178,43.8034,61.607,43.0694,68.944,59.369,45.4671,40.5983,63.7349,41.706,68.4282,58.2285,44.5081,38.2906,65.1265,40.6946,68.2617,57.7658,43.9539,36.0917,66.7476,39.6308,68.2891,57.4258,43.0891,29.5726,70.5103,35.7026,68.7581,57.3251,39.5278,24.188,73.6403,31.6116,69.6068,57.7499,35.2264
F-B8: Boost Arg+Prec+Ratio ×2  n=6  scheme=log,45.5126,8,60.4639,79.8855,56.8168,234,52.5641,51.895,43.483,69.5248,61.9517,42.3846,49.2165,55.6258,43.5716,69.3637,60.9837,44.0548,46.5201,58.9896,43.627,69.4664,60.6385,45.1957,43.75,61.8678,43.0944,69.3518,59.8533,45.4117,41.358,64.4218,42.5251,69.2623,59.2481,45.341,38.9744,66.5717,41.5698,69.3,58.8641,44.7388,36.9075,68.3112,40.6023,69.4515,58.6921,44.0631,30.057,72.0064,36.3769,69.8359,58.5174,40.1752,24.5726,74.8411,32.1533,70.62,58.952,35.7865
E: Fact+Arg+Prec+Ratio  n=5  scheme=augmented,45.4086,7,59.1259,78.3439,55.2168,234,52.3932,51.5666,43.231,68.6612,60.9005,42.2467,49.4302,55.9839,43.8302,68.8231,60.2436,44.2461,46.6422,59.8098,43.8968,69.021,59.7302,45.3144,43.5363,61.6097,42.8442,68.5078,58.7805,45.1899,40.7407,63.7087,41.9161,68.1358,57.9063,44.6642,38.2479,64.8486,40.6811,67.847,57.3603,43.9048,36.2471,66.2155,39.7401,67.9203,57.1803,43.2746,29.3732,69.6973,35.4782,68.1796,56.8766,39.2612,24.3803,73.5258,31.844,69.3745,57.5644,35.5065
E: Fact+Arg+Prec+Ratio  n=8  scheme=log,45.4015,8,59.5447,79.2376,55.9861,234,52.2222,51.1717,42.9372,69.0667,61.5801,42.1089,48.5755,54.4085,42.8286,68.5857,60.3396,43.481,45.9707,58.2486,43.0939,68.8227,59.835,44.6619,43.6432,61.7149,42.9168,69.0884,59.4606,45.3008,40.5983,63.2399,41.6295,68.472,58.408,44.5081,38.2479,65.4415,40.6904,68.4877,57.9414,43.9048,36.1694,66.9305,39.7559,68.5381,57.7438,43.1818,29.5442,70.5317,35.7018,68.9214,57.5446,39.4897,24.2094,73.7269,31.6629,69.8022,57.9794,35.2575
