model,_micro_f1,_micro_k,MAP,MRR,R-Precision,P@5,R@5,F1@5,NDCG@5,MAP@5,MicroF1@5,P@6,R@6,F1@6,NDCG@6,MAP@6,MicroF1@6,P@7,R@7,F1@7,NDCG@7,MAP@7,MicroF1@7,P@8,R@8,F1@8,NDCG@8,MAP@8,MicroF1@8,P@9,R@9,F1@9,NDCG@9,MAP@9,MicroF1@9,P@10,R@10,F1@10,NDCG@10,MAP@10,MicroF1@10,P@11,R@11,F1@11,NDCG@11,MAP@11,MicroF1@11,P@15,R@15,F1@15,NDCG@15,MAP@15,MicroF1@15,P@20,R@20,F1@20,NDCG@20,MAP@20,MicroF1@20
H-ngram: TF-IDF-F Prec×3+Rati×2+Fact×1+Argu×1  n=9  scheme=augmented,44.5765,7,57.6446,77.7924,53.6262,51.6239,51.0665,42.5745,67.7712,59.7369,41.6265,48.6467,55.1466,43.1057,67.817,59.1085,43.5448,45.7875,58.0259,42.9011,67.7255,58.4012,44.484,42.6282,60.0399,41.9007,67.2288,57.3587,44.2473,39.6011,61.9079,40.6434,66.6851,56.2121,43.4149,37.094,63.1596,39.4868,66.3688,55.5763,42.5803,35.237,65.3445,38.7129,66.6731,55.4741,42.0686,29.0883,69.3246,35.0648,67.3258,55.5435,38.8804,23.9103,72.7453,31.2205,68.3047,56.0579,34.8218
H-ngram: TF-IDF-F Prec×3+Rati×2+Fact×1+Argu×1  n=10  scheme=binary,44.5765,7,57.2193,77.3485,53.6592,51.3675,50.6134,42.2601,67.293,59.2018,41.4197,48.3618,54.7406,42.7763,67.3415,58.6178,43.2898,45.7875,58.5816,42.988,67.6308,58.1646,44.484,42.3611,59.9871,41.6177,66.8624,56.9165,43.9701,39.6011,62.3227,40.7004,66.5483,55.9338,43.4149,37.0513,63.6055,39.5052,66.2346,55.2727,42.5313,35.1204,64.8193,38.5558,66.2735,55.1025,41.9295,29.1168,69.2321,35.1118,67.1073,55.2796,38.9185,23.6966,72.2246,30.9455,67.8444,55.5939,34.5107
H-ngram: TF-IDF-F Prec×3+Rati×2+Fact×1+Argu×1  n=7  scheme=binary,44.5171,7,57.5565,77.5726,53.6511,52.1368,51.2676,42.9203,68.0078,60.0749,42.04,48.5755,55.0311,43.0277,67.6991,58.993,43.481,45.7265,58.0938,42.871,67.6625,58.3726,44.4247,42.3611,59.9166,41.6769,67.0146,57.1084,43.9701,39.5537,62.3123,40.6755,66.6886,56.0999,43.3628,37.5641,63.9797,39.9369,66.7331,55.8939,43.1199,35.3147,65.1814,38.7652,66.6296,55.5293,42.1614,29.0598,69.0453,35.0435,67.2109,55.5258,38.8423,23.8889,72.8649,31.226,68.2756,56.033,34.7907
H-ngram: TF-IDF-F Prec×3+Rati×2+Fact×1+Argu×1  n=8  scheme=augmented,44.5171,7,57.626,77.6674,53.8821,51.8803,51.2398,42.7636,67.8768,59.846,41.8332,48.7892,55.2439,43.222,67.8507,59.0735,43.6723,45.7265,57.9697,42.8419,67.6315,58.2901,44.4247,42.6282,60.1249,41.8953,67.2001,57.265,44.2473,39.7911,62.0931,40.8309,66.7471,56.2462,43.6231,37.3077,63.3425,39.6664,66.4637,55.6889,42.8256,35.3147,65.4745,38.8066,66.6917,55.4985,42.1614,29.0598,69.2782,35.0276,67.2587,55.4838,38.8423,23.9957,73.0223,31.3578,68.3751,56.0912,34.9463
H-ngram: TF-IDF-F Prec×3+Rati×2+Fact×1+Argu×1  n=8  scheme=binary,44.5171,7,57.4365,77.7542,53.701,51.8803,51.1299,42.7412,67.8415,59.8033,41.8332,48.5043,54.9567,42.9537,67.6401,58.9348,43.4173,45.7265,58.1391,42.8878,67.6624,58.307,44.4247,42.4145,59.9263,41.7046,67.0395,57.0967,44.0255,39.4587,62.09,40.5426,66.5834,55.9861,43.2587,37.3077,63.812,39.7127,66.567,55.6502,42.8256,35.1981,64.9114,38.6376,66.4891,55.3654,42.0223,29.2023,69.305,35.1921,67.3126,55.5368,39.0327,23.8248,72.5542,31.1186,68.1372,55.8734,34.6974
H-ngram: TF-IDF-F Prec×3+Rati×2+Fact×1+Argu×1  n=4  scheme=augmented,44.5124,8,57.9048,78.5733,54.1473,52.906,51.6359,43.4091,68.6939,60.7431,42.6602,49.4302,56.2165,43.8319,68.6373,59.6417,44.2461,45.4823,58.3915,42.8005,67.8351,58.2401,44.1874,42.7885,61.1453,42.2294,67.722,57.5542,44.4136,39.981,62.7178,41.1057,67.1876,56.6204,43.8313,37.8632,64.3903,40.2479,67.1936,56.3728,43.4633,35.742,65.8522,39.2451,67.2215,56.0892,42.6716,29.0598,69.9725,35.1639,67.6875,55.7636,38.8423,23.9103,73.319,31.3277,68.6724,56.3048,34.8218
H-ngram: TF-IDF-F Prec×3+Rati×2+Fact×1+Argu×1  n=4  scheme=binary,44.4577,7,57.5377,77.6168,53.6527,52.906,51.6408,43.4202,68.4202,60.5328,42.6602,49.0741,55.263,43.4021,67.9255,59.2291,43.9273,45.6654,58.4266,42.9407,67.6551,58.1411,44.3654,42.5748,60.7863,42.0414,67.2475,57.2174,44.1918,39.886,62.7429,41.0188,66.8617,56.3163,43.7272,37.6923,64.2584,40.0885,66.7944,55.9948,43.2671,35.5478,65.9307,39.0639,66.8567,55.7095,42.4397,28.9744,69.6811,35.0509,67.2826,55.4886,38.7281,23.8248,72.7926,31.1742,68.1911,55.9938,34.6974
H-ngram: TF-IDF-F Prec×3+Rati×2+Fact×1+Argu×1  n=6  scheme=augmented,44.4577,7,57.6662,77.8221,54.0096,52.3077,51.6508,43.0512,68.1984,60.1267,42.1778,48.9316,55.7583,43.4327,68.0427,59.0913,43.7998,45.6654,58.3077,42.8645,67.6778,58.1945,44.3654,42.5214,60.3024,41.8385,67.1711,57.1293,44.1364,39.981,62.7008,41.0754,66.9699,56.3527,43.8313,37.6496,64.0542,40.0195,66.7963,55.9112,43.2181,35.4701,65.2229,38.8932,66.7278,55.5795,42.3469,29.2023,69.489,35.2124,67.3962,55.5833,39.0327,23.9744,72.868,31.3178,68.3546,56.1053,34.9152
H-ngram: TF-IDF-F Prec×3+Rati×2+Fact×1+Argu×1  n=7  scheme=augmented,44.4577,7,57.5712,77.6335,53.7749,52.0513,51.3348,42.8857,67.9336,59.8116,41.9711,48.7179,55.2122,43.1824,67.7558,58.912,43.6085,45.6654,57.8715,42.7701,67.5231,58.1486,44.3654,42.5748,60.062,41.8534,67.0906,57.1164,44.1918,39.7911,62.5044,40.8875,66.788,56.1662,43.6231,37.5214,63.888,39.8761,66.6422,55.7771,43.0709,35.4312,65.1728,38.8695,66.6293,55.4964,42.3006,29.0883,69.2531,35.0647,67.2199,55.4271,38.8804,23.953,73.0099,31.3046,68.2989,55.9924,34.8841
H-ngram: TF-IDF-F Prec×3+Rati×2+Fact×1+Argu×1  n=9  scheme=binary,44.4577,7,57.238,77.5263,53.7599,51.5385,50.8315,42.4429,67.4511,59.3448,41.5575,48.433,54.7834,42.8297,67.414,58.6796,43.3535,45.6654,58.1632,42.8593,67.4798,58.0403,44.3654,42.5214,60.0132,41.7954,66.9522,56.9638,44.1364,39.6486,62.3454,40.7357,66.5843,55.9619,43.4669,37.2222,63.7843,39.6709,66.3646,55.3835,42.7275,35.1593,64.846,38.5874,66.3076,55.1336,41.9759,29.1168,69.244,35.1205,67.111,55.2759,38.9185,23.8248,72.5688,31.1212,67.9959,55.6889,34.6974
H-ngram: TF-IDF-F Prec×3+Rati×2+Fact×1+Argu×1  n=5  scheme=augmented,44.4568,8,57.7373,78.1013,53.7131,52.735,51.768,43.287,68.5008,60.4833,42.5224,49.1453,55.8996,43.5993,68.2333,59.2682,43.9911,45.6044,58.5506,42.9294,67.759,58.1469,44.306,42.735,61.0621,42.1437,67.5248,57.3631,44.3582,40.076,62.7787,41.176,67.0878,56.4523,43.9355,37.6923,63.9915,40.0326,66.8576,56.013,43.2671,35.5866,65.3672,39.0109,66.8736,55.7295,42.4861,29.1738,69.7785,35.231,67.5188,55.6255,38.9947,24.0385,73.0441,31.4084,68.4991,56.2197,35.0086
H-ngram: TF-IDF-F Prec×3+Rati×2+Fact×1+Argu×1  n=6  scheme=binary,44.3388,7,57.5827,77.8196,53.5144,52.3077,51.3016,42.9997,68.1821,60.1413,42.1778,48.5043,54.9234,42.9467,67.7012,58.9117,43.4173,45.5433,57.9843,42.7366,67.5923,58.2206,44.2467,42.3611,59.8602,41.6633,67.0338,57.1154,43.9701,39.6011,61.9921,40.6936,66.6549,56.0903,43.4149,37.6068,64.2032,40.0151,66.8393,55.9454,43.169,35.4312,65.3486,38.8843,66.7614,55.5936,42.3006,29.1738,69.6946,35.2108,67.4532,55.6325,38.9947,23.8889,72.665,31.2061,68.2778,56.0532,34.7907
H-ngram: TF-IDF-F Prec×3+Rati×2+Fact×1+Argu×1  n=10  scheme=augmented,44.3388,7,57.5536,77.6397,53.6353,51.6239,51.0102,42.5359,67.6941,59.6109,41.6265,48.5755,55.1181,43.065,67.7041,58.9566,43.481,45.5433,57.8217,42.6814,67.5031,58.177,44.2467,42.5748,59.9924,41.8504,67.1308,57.2332,44.1918,39.6486,61.951,40.6877,66.6553,56.1624,43.4669,36.9658,62.9887,39.3412,66.2168,55.4092,42.4332,35.0427,64.7484,38.485,66.3886,55.247,41.8367,29.0883,69.2,35.0288,67.2346,55.4553,38.8804,23.8034,72.5532,31.0888,68.1553,55.9014,34.6663
H-ngram: TF-IDF-F Prec×3+Rati×2+Fact×1+Argu×1  n=9  scheme=log,44.2345,8,57.4408,78.2474,53.948,51.1966,49.588,41.9398,67.2754,59.3885,41.2819,47.792,53.2682,42.1162,66.9504,58.3149,42.7797,44.9939,57.2505,42.0795,67.1537,57.7233,43.7129,42.5214,60.1544,41.7393,67.1619,57.1238,44.1364,39.8386,62.4392,40.8687,66.8517,56.2477,43.6752,37.4359,63.809,39.7944,66.6253,55.6886,42.9728,35.237,64.8461,38.6332,66.4988,55.3199,42.0686,28.9459,69.4187,34.9712,67.2381,55.3594,38.69,23.7179,72.4884,31.0193,68.089,55.7868,34.5418
H-ngram: TF-IDF-F Prec×3+Rati×2+Fact×1+Argu×1  n=3  scheme=augmented,44.1789,8,57.4788,78.9005,53.9386,52.1368,50.7828,42.8827,67.9881,60.0375,42.04,48.9316,55.0186,43.3078,67.9669,59.1375,43.7998,45.2991,58.0288,42.6108,67.5493,57.9201,44.0095,42.4679,60.8087,41.9651,67.3615,57.1145,44.081,40.076,63.1651,41.252,67.2042,56.461,43.9355,37.735,64.645,40.2251,67.0672,56.0279,43.3162,35.5089,65.7309,39.0173,66.9569,55.6273,42.3933,28.7749,69.7406,34.8918,67.3624,55.3067,38.4615,23.6325,72.9543,31.0213,68.2921,55.8229,34.4173
H-ngram: TF-IDF-F Prec×3+Rati×2+Fact×1+Argu×1  n=5  scheme=binary,44.1789,8,57.6183,77.8009,53.5352,52.735,51.4973,43.2656,68.448,60.5123,42.5224,48.9316,55.3245,43.3405,67.9993,59.1349,43.7998,45.2991,57.8619,42.5776,67.4459,57.9998,44.0095,42.4679,60.3193,41.8816,67.1948,57.2175,44.081,39.7911,62.3072,40.8901,66.8265,56.2829,43.6231,37.6496,63.8633,40.0123,66.7829,55.9857,43.2181,35.5478,65.5064,39.0006,66.8594,55.7174,42.4397,29.3162,70.0199,35.3905,67.6118,55.7745,39.1851,23.8889,72.7819,31.2339,68.3208,56.0902,34.7907
