model,_micro_f1,_micro_k,MAP,MRR,R-Precision,n_queries,P@5,R@5,F1@5,NDCG@5,MAP@5,MicroF1@5,P@6,R@6,F1@6,NDCG@6,MAP@6,MicroF1@6,P@7,R@7,F1@7,NDCG@7,MAP@7,MicroF1@7,P@8,R@8,F1@8,NDCG@8,MAP@8,MicroF1@8,P@9,R@9,F1@9,NDCG@9,MAP@9,MicroF1@9,P@10,R@10,F1@10,NDCG@10,MAP@10,MicroF1@10,P@11,R@11,F1@11,NDCG@11,MAP@11,MicroF1@11,P@15,R@15,F1@15,NDCG@15,MAP@15,MicroF1@15,P@20,R@20,F1@20,NDCG@20,MAP@20,MicroF1@20
F: Paper-RR (asymmetric) n=5 augmented,40.7891,8,53.25,75.8241,49.9107,234,48.2051,48.6837,39.8792,63.9736,55.4385,38.8697,44.6581,51.6105,39.5722,63.4286,54.0838,39.9745,41.8803,54.3846,39.291,63.2846,53.2437,40.688,39.2094,56.8555,38.7181,63.0246,52.3004,40.6986,36.8946,58.6185,37.9106,62.7271,51.5576,40.4477,34.7436,60.0206,36.9321,62.5925,51.1317,39.8823,32.7117,61.137,35.9068,62.5113,50.782,39.0538,27.151,66.3553,32.9263,63.5209,50.9055,36.2909,22.2436,69.2476,29.2009,64.3316,51.2866,32.3946
F: Paper-RR (asymmetric) n=3 log,40.7727,7,53.395,77.627,48.9919,234,47.8632,47.7747,39.3815,64.1582,55.6275,38.5941,44.943,51.5418,39.7867,64.0764,54.6406,40.2295,41.8803,54.1112,39.329,63.7196,53.6244,40.688,38.8889,55.8994,38.2832,63.145,52.5682,40.366,36.6097,58.3849,37.6778,63.01,51.8046,40.1353,34.6581,60.0596,36.9224,63.0221,51.4529,39.7842,32.7894,61.7427,36.1842,63.1351,51.247,39.1466,26.6667,65.58,32.4239,63.5487,51.0263,35.6436,21.6239,68.7368,28.5846,64.2921,51.2209,31.4921
F: Paper-RR (asymmetric) n=2 augmented,40.7335,8,53.1852,77.1683,49.1911,234,48.2906,48.3482,39.9715,64.2695,55.6745,38.9387,44.8718,51.778,39.9425,63.8975,54.4357,40.1658,41.6361,54.3368,39.2123,63.5085,53.3982,40.4508,39.156,57.0658,38.8189,63.3774,52.6403,40.6432,36.6097,58.483,37.7059,62.9049,51.7811,40.1353,34.4872,59.9332,36.7956,62.7752,51.3422,39.5879,32.4009,61.4748,35.816,62.7662,50.9962,38.6827,26.6952,65.8589,32.4912,63.4898,50.9192,35.6816,21.7308,69.113,28.6302,64.2893,51.1857,31.6477
F3: Paper-RR symmetric (Fact+Arg+Ratio both sides) n=3 log,40.6538,7,53.2894,77.5368,48.7633,234,48.2051,48.0134,39.6572,64.2425,55.6116,38.8697,45.2991,51.6685,40.0135,64.1606,54.707,40.5483,41.7582,53.9332,39.2005,63.5061,53.42,40.5694,38.8889,55.9279,38.312,63.033,52.3947,40.366,36.5622,58.3927,37.6534,62.8805,51.6002,40.0833,34.6154,60.1523,36.9352,62.9081,51.2998,39.7351,32.8671,61.9717,36.2952,63.1217,51.1702,39.2393,26.8661,65.9135,32.6475,63.6188,51.0081,35.9101,21.6667,68.7388,28.6288,64.2213,51.1226,31.5544
F2: Paper-RR + boost Ratio×3 n=3 log,40.6224,8,53.653,76.6364,49.6248,234,47.9487,48.0601,39.6829,63.9042,55.4833,38.663,44.8006,51.8532,39.8606,63.7552,54.4251,40.102,41.5751,54.5267,39.1932,63.4092,53.3403,40.3915,39.0491,56.8156,38.5326,63.1759,52.5533,40.5323,36.7047,58.5819,37.7055,62.8542,51.6873,40.2395,34.7009,60.3487,36.9528,62.8748,51.439,39.8332,32.906,61.9394,36.2614,62.9917,51.2062,39.2857,27.2365,66.2993,33.044,63.7886,51.3046,36.4052,22.0726,68.9465,29.0624,64.4256,51.5155,32.1456
F: Paper-RR (asymmetric) n=4 log,40.5944,7,53.5469,76.9681,49.6567,234,48.3761,48.2437,39.828,64.3761,55.8882,39.0076,45.2279,51.9178,40.0568,64.2154,54.8794,40.4845,41.6972,53.7507,39.0697,63.462,53.5719,40.5101,38.8889,56.1245,38.3406,63.1133,52.6017,40.366,36.7996,58.3916,37.8032,63.0008,51.9395,40.3436,34.6581,59.997,36.8759,62.9168,51.5184,39.7842,32.634,61.3776,35.9685,62.886,51.1903,38.961,26.9801,66.1405,32.8066,63.7355,51.2478,36.0625,21.9231,69.1829,28.9144,64.4838,51.4882,31.9278
F: Paper-RR (asymmetric) n=5 log,40.5944,7,53.463,76.535,49.7617,234,48.547,48.5385,40.0657,64.3958,55.9573,39.1454,44.7293,51.2653,39.5692,63.6666,54.4418,40.0383,41.6972,53.6994,39.0475,63.2969,53.4766,40.5101,38.9957,56.4349,38.4634,63.0845,52.5325,40.4769,36.6572,58.2503,37.6954,62.7491,51.7668,40.1874,34.7863,59.9635,37.0248,62.8039,51.445,39.9313,32.7506,61.7676,36.1175,62.8813,51.1519,39.1002,26.9801,66.0171,32.7896,63.5633,51.0913,36.0625,22.1581,69.3536,29.1363,64.5015,51.5318,32.2701
F: Paper-RR (asymmetric) n=4 binary,40.5668,8,53.1251,75.5382,50.0322,234,48.0342,48.2359,39.7333,63.747,55.41,38.7319,44.5869,51.3465,39.5536,63.2868,54.0598,39.9107,41.5751,53.8739,39.0541,62.9622,53.1119,40.3915,38.9957,56.4364,38.5642,62.7641,52.174,40.4769,36.7996,58.5296,37.811,62.6142,51.5266,40.3436,34.5726,59.9652,36.8187,62.4552,51.019,39.686,32.7506,61.2909,36.0007,62.5145,50.8416,39.1002,27.0655,65.8114,32.7535,63.2958,50.8484,36.1767,22.0513,68.7954,28.9362,64.0439,51.1223,32.1145
F2: Paper-RR + boost Ratio+Judgment×3 n=3 log,40.5113,8,53.6745,76.6672,49.7324,234,47.7778,47.8464,39.4984,63.861,55.465,38.5252,44.5869,51.6987,39.6954,63.6964,54.3741,39.9107,41.514,54.067,39.0681,63.332,53.3338,40.3321,38.9423,56.7456,38.4608,63.1604,52.5314,40.4214,36.8471,58.7152,37.8469,63.0038,51.8516,40.3956,34.7436,60.3535,36.9918,62.9459,51.5244,39.8823,32.8671,62.0219,36.2622,63.0615,51.3028,39.2393,27.208,66.2566,33.0098,63.8263,51.3682,36.3671,22.0726,68.9847,29.0659,64.4892,51.5845,32.1456
F2: Paper-RR + boost Ratio+Judgment×2 n=3 log,40.4755,7,53.5858,77.0513,49.9252,234,47.7778,48.1978,39.593,64.0257,55.4843,38.5252,44.7293,51.5467,39.6737,63.8164,54.4627,40.0383,41.5751,53.9868,39.1048,63.3976,53.3762,40.3915,38.7821,56.2305,38.2837,63.0144,52.4016,40.2551,36.6097,58.194,37.6012,62.8168,51.6694,40.1353,34.8291,60.5712,37.1109,63.0762,51.5529,39.9804,32.7894,61.9003,36.161,63.038,51.1572,39.1466,27.1225,66.1596,32.9331,63.7833,51.2802,36.2529,21.9872,68.8049,28.9582,64.4143,51.4671,32.0212
F: Paper-RR (asymmetric) n=5 binary,40.4557,8,52.9205,75.5719,49.7576,234,47.9487,48.0361,39.5786,63.6603,55.2804,38.663,44.0883,50.8315,39.0556,62.9347,53.6887,39.4645,41.3919,53.5436,38.7954,62.7966,52.8304,40.2135,38.8889,56.2233,38.3844,62.6608,52.0306,40.366,36.4672,58.2188,37.4965,62.3683,51.1775,39.9792,34.4444,59.805,36.6831,62.3241,50.8192,39.5389,32.634,60.9284,35.7842,62.3437,50.623,38.961,26.8376,65.3651,32.5121,63.0399,50.5514,35.872,22.0513,68.8048,28.9457,63.998,50.9613,32.1145
F: Paper-RR (asymmetric) n=2 binary,40.0,7,52.8925,77.2421,49.3104,234,47.6923,47.8596,39.4989,63.882,55.3165,38.4562,44.302,51.2558,39.4341,63.5356,54.0883,39.6557,41.0867,53.5442,38.7387,63.0407,53.0487,39.917,38.3013,55.827,37.9197,62.6805,52.0898,39.756,35.8974,57.2388,36.9334,62.2458,51.2426,39.3545,34.1453,60.1223,36.5027,62.6396,51.0792,39.1955,32.0513,61.447,35.4875,62.5563,50.7075,38.2653,26.4672,65.4084,32.2081,63.2328,50.6955,35.377,21.5385,68.3173,28.3779,63.9522,50.9172,31.3677
F: Paper-RR (asymmetric) n=2 log,39.9406,7,52.4506,77.6157,49.2559,234,47.6923,47.6356,39.3762,63.6695,54.885,38.4562,44.0883,50.6807,39.1396,63.0935,53.5806,39.4645,41.0256,53.4338,38.5993,62.8314,52.6672,39.8577,38.2479,55.8948,37.8383,62.5253,51.6263,39.7006,35.755,57.4978,36.8873,62.0777,50.8273,39.1983,33.9744,59.3484,36.3358,62.1893,50.4793,38.9993,32.129,60.821,35.4943,62.2593,50.2799,38.3581,26.0969,65.1807,31.8267,62.8223,50.08,34.8819,21.1538,67.7235,27.9637,63.42,50.2463,30.8075
"D5: Ratio×4, Precedent×2, Fact×1",37.2065,7,43.4203,68.8275,41.9852,234,43.4188,38.4211,34.2313,54.7825,46.2344,35.0103,40.812,42.3266,34.9247,54.6998,45.0044,36.5317,38.2173,44.6848,34.7567,54.3721,44.1493,37.1293,35.6303,46.3139,34.0757,53.7966,43.1146,36.9836,33.8082,49.0768,33.8997,53.8413,42.5052,37.064,31.8803,50.9176,33.2745,53.8136,42.0935,36.5955,29.9145,52.314,32.3649,53.7417,41.6803,35.7143,24.4729,56.1615,29.3018,54.2211,41.5052,32.7113,19.7222,58.3985,25.6731,54.649,41.5206,28.7226
A7: RatioOfTheDecision only,37.0147,7,44.8982,72.101,43.1268,229,44.3668,40.3117,35.398,56.9138,48.0551,35.4625,40.9025,43.2361,35.2477,56.2472,46.4687,36.3284,38.3656,45.5483,35.0575,55.9464,45.6111,37.0147,35.8079,47.7153,34.528,55.5304,44.5455,36.9369,33.673,49.7969,33.995,55.2555,43.7662,36.7099,31.5284,51.5951,33.1964,55.1132,43.1447,36.01,29.7737,52.8556,32.4077,55.1101,42.8328,35.3857,24.7744,58.3211,29.8753,56.1721,42.8679,33.0165,20.2838,61.5225,26.5591,56.9877,43.1145,29.4921
D4: Only Precedent+Ratio+Fact equal,35.7877,8,42.2808,67.9571,39.5307,234,42.6496,37.9707,33.4991,53.8594,44.959,34.3901,39.4587,40.8282,33.5916,53.2124,43.596,35.3204,36.7521,43.4555,33.4881,52.8279,42.4113,35.7058,34.4017,45.6042,33.138,52.4676,41.4657,35.7083,32.2412,47.2638,32.4374,52.087,40.6635,35.3462,30.4701,49.3213,31.944,52.1779,40.3856,34.9767,28.7879,50.4187,31.1954,52.1515,40.139,34.3692,23.7892,54.8782,28.5567,52.9286,40.0943,31.7974,19.4231,58.2156,25.3844,53.7623,40.2405,28.2869
"D3: Precedent×3, Ratio×3, Fact×1, rest×0.5",28.4523,8,30.3428,57.3411,30.3782,234,33.5897,27.401,24.944,42.4592,34.8968,27.0848,31.4103,29.3933,25.2397,41.8201,33.5804,28.116,29.1209,31.0019,25.0228,41.1935,32.4622,28.2918,27.3504,32.4235,24.8324,40.7256,31.5629,28.3892,25.3561,33.5551,24.1772,40.0976,30.5811,27.798,23.8462,34.8829,23.7159,39.9121,30.0811,27.3731,22.2611,35.4653,22.9585,39.5999,29.5895,26.577,18.2336,38.111,20.9691,39.6563,29.0622,24.3717,14.8291,40.2052,18.6927,40.0042,28.9359,21.5964
A8: Precedent only,27.4891,6,28.5553,60.9579,27.6823,216,33.9815,26.9913,24.9446,42.7265,33.9992,26.5269,31.6358,29.7318,25.435,42.0838,32.5607,27.4891,28.836,30.8019,24.7848,40.9252,30.9247,27.2585,26.7361,32.4879,24.4017,40.2651,29.771,27.0571,25.0514,33.5492,23.9599,39.6828,28.8756,26.8246,23.5185,34.5808,23.4456,39.394,28.2884,26.4102,22.0118,35.1664,22.7716,39.0924,27.802,25.7445,18.3951,39.2027,21.3622,39.6835,27.4074,24.1932,15.1852,42.0519,19.4071,40.3262,27.3079,21.8412
"D2: Precedent×2, Ratio×2, others×1",22.3951,8,23.2798,47.9792,22.7808,234,25.4701,20.9149,18.8294,32.3927,24.8333,20.5376,24.0741,23.3148,19.4451,32.2777,24.0551,21.5493,22.7717,25.0012,19.6985,32.1601,23.4441,22.1234,21.5278,26.2336,19.6552,31.9442,22.8944,22.3454,19.8955,27.4712,19.0901,31.5641,22.2471,21.8116,18.8034,28.6938,18.8131,31.5354,21.9812,21.5845,17.871,29.4036,18.4919,31.497,21.79,21.3358,15.0427,33.0246,17.4025,32.0259,21.6943,20.1066,12.3077,34.3573,15.5018,32.2008,21.5632,17.9244
D1: Equal weight all roles,19.2831,8,19.95,42.9636,19.3939,234,21.3675,18.254,15.856,27.4991,20.2804,17.2295,20.1567,20.0733,16.3421,27.3244,19.6199,18.0427,19.4139,21.5095,16.6957,27.4293,19.3872,18.8612,18.5363,23.2861,16.9361,27.5304,19.0563,19.2404,17.4739,23.8708,16.5998,27.2743,18.6952,19.1567,16.5812,25.7527,16.606,27.4618,18.413,19.0336,15.6177,26.265,16.2031,27.3342,18.1611,18.6456,13.2194,29.7263,15.3293,27.923,18.0122,17.6695,11.2821,32.1942,14.2822,28.6265,18.1803,16.4307
