model,_micro_f1,_micro_k,MAP,MRR,R-Precision,n_queries,P@5,R@5,F1@5,NDCG@5,MAP@5,MicroF1@5,P@6,R@6,F1@6,NDCG@6,MAP@6,MicroF1@6,P@7,R@7,F1@7,NDCG@7,MAP@7,MicroF1@7,P@8,R@8,F1@8,NDCG@8,MAP@8,MicroF1@8,P@9,R@9,F1@9,NDCG@9,MAP@9,MicroF1@9,P@10,R@10,F1@10,NDCG@10,MAP@10,MicroF1@10,P@11,R@11,F1@11,NDCG@11,MAP@11,MicroF1@11,P@15,R@15,F1@15,NDCG@15,MAP@15,MicroF1@15,P@20,R@20,F1@20,NDCG@20,MAP@20,MicroF1@20
E: Fact+Arg+Prec+Ratio  n=3  scheme=log,44.101,7,58.9879,79.153,55.002,234,51.8803,50.8095,42.6407,68.729,61.1764,41.8332,48.433,54.3547,42.7156,68.4675,60.1859,43.3535,45.2991,57.8957,42.5306,68.3988,59.3988,44.0095,42.2543,60.1378,41.6969,67.9841,58.3766,43.8592,39.9335,62.2154,41.0115,67.7971,57.6547,43.7793,37.7778,64.8047,40.3134,68.0138,57.3756,43.3652,35.4701,65.9678,39.0976,67.8865,56.9749,42.3469,29.2308,70.1203,35.3768,68.557,57.024,39.0708,23.6538,72.9898,31.0413,69.1998,57.2447,34.4484
E: Fact+Arg+Prec+Ratio  n=2  scheme=binary,43.7899,8,57.4912,78.9768,53.8327,234,51.1111,49.7611,42.1286,67.484,59.6409,41.213,47.5783,54.072,42.3743,67.3114,58.5918,42.5885,44.9328,57.5829,42.2758,67.5165,58.1412,43.6536,42.094,59.9492,41.5552,67.2374,57.3012,43.6928,39.3637,61.9872,40.5284,66.8573,56.4061,43.1546,37.3077,63.6525,39.747,66.8599,56.1086,42.8256,35.1981,65.0814,38.752,66.8698,55.8019,42.0223,28.4615,68.7795,34.4936,67.1482,55.374,38.0427,23.3333,72.3425,30.6253,68.1248,55.7859,33.9816
A0: Baseline — original docs (no RR),43.7344,8,58.7326,79.7448,54.0291,234,51.5385,50.7816,42.471,68.4997,60.5588,41.5575,47.9345,54.4111,42.4455,68.1478,59.4298,42.9072,44.6886,57.6371,42.1266,67.9509,58.5458,43.4164,42.0406,60.7571,41.6502,67.923,57.902,43.6374,39.7436,62.9335,40.9943,67.7768,57.2691,43.5711,37.6068,65.4238,40.2845,67.9714,56.9913,43.169,35.5478,66.822,39.3097,68.0051,56.7216,42.4397,29.1453,70.6052,35.401,68.5569,56.6889,38.9566,23.5684,73.0531,30.9806,69.1114,56.8856,34.3239
A1: All roles (full RR doc),43.7344,8,58.7326,79.7448,54.0291,234,51.5385,50.7816,42.471,68.4997,60.5588,41.5575,47.9345,54.4111,42.4455,68.1478,59.4298,42.9072,44.6886,57.6371,42.1266,67.9509,58.5458,43.4164,42.0406,60.7571,41.6502,67.923,57.902,43.6374,39.7436,62.9335,40.9943,67.7768,57.2691,43.5711,37.6068,65.4238,40.2845,67.9714,56.9913,43.169,35.5478,66.822,39.3097,68.0051,56.7216,42.4397,29.1453,70.6052,35.401,68.5569,56.6889,38.9566,23.5684,73.0531,30.9806,69.1114,56.8856,34.3239
"A2: All roles, label prefix stripped",43.7344,8,58.7326,79.7448,54.0291,234,51.5385,50.7816,42.471,68.4997,60.5588,41.5575,47.9345,54.4111,42.4455,68.1478,59.4298,42.9072,44.6886,57.6371,42.1266,67.9509,58.5458,43.4164,42.0406,60.7571,41.6502,67.923,57.902,43.6374,39.7436,62.9335,40.9943,67.7768,57.2691,43.5711,37.6068,65.4238,40.2845,67.9714,56.9913,43.169,35.5478,66.822,39.3097,68.0051,56.7216,42.4397,29.1453,70.6052,35.401,68.5569,56.6889,38.9566,23.5684,73.0531,30.9806,69.1114,56.8856,34.3239
A6: Argument + Precedent + Ratio,43.7145,7,56.4218,78.194,52.6441,232,51.9828,49.279,42.3677,67.2007,59.5784,41.7301,47.7011,52.2901,41.8418,66.3903,57.9498,42.5232,45.0739,56.0338,42.0495,66.5709,57.4063,43.6234,42.1336,58.2415,41.2776,66.1784,56.4142,43.5776,39.5115,59.9334,40.3792,65.7105,55.4432,43.1711,37.2414,61.811,39.5113,65.6727,54.9757,42.6141,35.4232,64.1051,38.9144,66.0077,54.8724,42.1642,28.7931,67.9044,34.8791,66.4032,54.5888,38.3908,23.4052,71.2805,30.727,67.2004,54.8436,34.0172
A10: All except RulingByLowerCourt,43.6232,8,58.5636,79.4036,53.9458,234,51.0256,50.0154,41.8972,68.0351,60.3879,41.144,47.792,54.1453,42.3467,67.9769,59.4504,42.7797,44.7497,57.9487,42.2343,68.0418,58.7571,43.4757,41.9338,60.1126,41.5179,67.6862,57.9034,43.5265,39.4587,62.0596,40.5953,67.4075,57.1027,43.2587,37.1795,64.0874,39.6812,67.4103,56.6738,42.6784,35.237,65.867,38.8493,67.586,56.449,42.0686,28.9459,70.1444,35.1041,68.2579,56.4667,38.69,23.4188,72.9522,30.8231,68.9013,56.6925,34.1061
"B9: Downweight RulingByLower (keep others ×1, lower ×0 skip)",43.6232,8,58.5636,79.4036,53.9458,234,51.0256,50.0154,41.8972,68.0351,60.3879,41.144,47.792,54.1453,42.3467,67.9769,59.4504,42.7797,44.7497,57.9487,42.2343,68.0418,58.7571,43.4757,41.9338,60.1126,41.5179,67.6862,57.9034,43.5265,39.4587,62.0596,40.5953,67.4075,57.1027,43.2587,37.1795,64.0874,39.6812,67.4103,56.6738,42.6784,35.237,65.867,38.8493,67.586,56.449,42.0686,28.9459,70.1444,35.1041,68.2579,56.4667,38.69,23.4188,72.9522,30.8231,68.9013,56.6925,34.1061
C2: Label role term ×5 for Precedent+Ratio,43.6232,8,58.0227,78.8751,53.751,234,50.9402,50.0851,41.8613,67.7255,59.9301,41.0751,47.2934,54.2525,42.0534,67.4617,58.7667,42.3334,44.6886,58.0419,42.1709,67.7273,58.226,43.4164,41.9338,60.4251,41.5365,67.4626,57.5208,43.5265,39.5062,62.4811,40.7832,67.2191,56.7951,43.3108,37.1795,64.3557,39.7919,67.1652,56.392,42.6784,35.0039,65.7611,38.7222,67.1413,56.0349,41.7904,28.6895,70.2004,34.8964,67.8209,55.9535,38.3473,23.0983,72.5152,30.4318,68.3051,56.0829,33.6393
C3: Label role term ×10 for Precedent+Ratio,43.6232,8,57.9124,78.6988,53.751,234,50.9402,50.0851,41.8613,67.5922,59.7556,41.0751,47.4359,54.6087,42.2552,67.4974,58.7086,42.4609,44.7497,58.1274,42.2422,67.6602,58.1319,43.4757,41.9338,60.4251,41.5365,67.3509,57.3865,43.5265,39.5062,62.4747,40.7759,67.1085,56.6522,43.3108,37.2222,64.3945,39.8326,67.0826,56.2902,42.7275,35.0039,65.7611,38.7222,67.0325,55.9057,41.7904,28.7464,70.2698,34.9587,67.7604,55.8788,38.4235,23.1197,72.5282,30.4479,68.2197,55.9792,33.6705
